Rank,Title,Score,Episodes
1310,Break Blade Movie 1: Kakusei no Toki,7.63,Movie
1311,Cardcaptor Sakura Movie 1,7.63,Movie
1312,Date A Bullet: Nightmare or Queen,7.63,Movie
1313,Detective Conan Movie 10: Promo Special,7.63,Special
1314,Digimon Tamers,7.63,TV
1315,Free!: FrFr - Short Movie,7.63,Special
1316,Genshiken,7.63,TV
1317,Genshiken OVA,7.63,OVA
1318,Ichigo Mashimaro,7.63,TV
1319,Aggressive Retsuko,7.62,TV
1320,Bishoujo Senshi Sailor Moon SuperS,7.62,TV
1321,Blood+,7.62,TV
1322,Chrno Crusade,7.62,TV
1323,Detective Conan Movie 26: Kurogane no Submarine,7.62,Movie
1324,Diamond no Ace: Second Season OVA,7.62,OVA
1325,Digimon Adventure tri. 3: Kokuhaku,7.62,Movie
1326,Eikoku Koi Monogatari Emma,7.62,TV
1327,Free! Eternal Summer,7.62,TV
1328,Fune wo Amu,7.62,TV
1329,Gabriel DropOut Specials,7.62,Special
1330,Gakkougurashi!,7.62,TV
1331,Gokinjo Monogatari,7.62,TV
1332,Jungle wa Itsumo Hare nochi Guu Final,7.62,OVA
1333,Junjou Romantica 3,7.62,TV
1334,K: Seven Stories Movie 5 - Memory of Red - Burn,7.62,Movie
1335,Kidou Senshi Gundam Unicorn RE:0096,7.62,TV
1336,Kimagure Orange☆Road: Ano Hi ni Kaeritai,7.62,Movie
1337,Kishibe Rohan wa Ugokanai,7.62,OVA
1338,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,7.62,Movie
1339,Orange,7.62,TV
1340,Owari no Seraph: Nagoya Kessen-hen,7.62,TV
1341,Piano no Mori,7.62,Movie
1342,Puparia,7.62,ONA
1343,Rozen Maiden: Träumend,7.62,TV
1344,Shingeki no Bahamut: Genesis,7.62,TV
1345,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,7.62,Movie
1346,Tong Ling Fei,7.62,ONA
1347,Top wo Nerae 2! Diebuster,7.62,OVA
1348,Utawarerumono,7.62,TV
1349,White Album 2,7.62,TV
1350,Tegamibachi,7.61,TV
1351,Tenchi Muyou! Ryououki,7.61,OVA
1352,The iDOLM@STER,7.61,TV
1353,Toaru Hikuushi e no Tsuioku,7.61,Movie
1354,Trapp Ikka Monogatari,7.61,TV
1355,Aikatsu Stars!,7.61,TV
1356,Bleach Movie 4: Jigoku-hen,7.61,Movie
1357,Bokura no,7.61,TV
1358,Chibi Maruko-chan,7.61,TV
1359,Full Metal Panic!,7.61,TV
1360,Fushigi Yuugi,7.61,TV
1361,Hakkenden: Touhou Hakken Ibun 2nd Season,7.61,TV
1362,Hellsing: Digest for Freaks,7.61,OVA
1363,Huyao Xiao Hongniang: Yue Hong,7.61,ONA
1364,"Ima, Soko ni Iru Boku",7.61,TV
1365,Jigoku Shoujo,7.61,TV
1366,Jigoku Shoujo Mitsuganae,7.61,TV
1367,Juubee Ninpuuchou,7.61,Movie
1368,Kubo-san wa Mob wo Yurusanai,7.61,TV
1369,Nurarihyon no Mago,7.61,TV
1370,Overlord Movie 1: Fushisha no Ou,7.61,Movie
1371,Persona 3 the Movie 2: Midsummer Knight's Dream,7.61,Movie
1372,Prison School,7.61,TV
1373,Senpai ga Uzai Kouhai no Hanashi,7.61,TV
1374,Shinigami Bocchan to Kuro Maid,7.61,TV
1375,Soukyuu no Fafner: Dead Aggressor - Exodus Part 2,7.61,TV
1376,Kekkai Sensen,7.60,TV
1377,Kekkaishi,7.60,TV
1378,"Kimetsu no Yaiba: Jougen Shuuketsu, Soshite Katanakaji no Sato e",7.60,Movie
1379,"Kimi to, Nami ni Noretara",7.60,Movie
1380,Kino no Tabi: The Beautiful World - The Animated Series,7.60,TV
1381,Kuroko no Basket: Mou Ikkai Yarimasen ka,7.60,Special
1382,Mahoujin Guruguru,7.60,TV
1383,Osomatsu-san 2nd Season,7.60,TV
1384,Persona 3 the Movie 3: Falling Down,7.60,Movie
1385,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,7.60,Movie
1386,Senki Zesshou Symphogear AXZ,7.60,TV
1387,Soredemo Sekai wa Utsukushii,7.60,TV
1388,The iDOLM@STER Movie: Kagayaki no Mukougawa e!,7.60,Movie
1389,Akudama Drive,7.60,TV
1390,Detective Conan Movie 09: Promo Special,7.60,Special
1391,Free! Dive to the Future,7.60,TV
1392,Hakuouki Movie 1: Kyoto Ranbu,7.60,Movie
1393,Hana yori Dango,7.60,TV
1394,Ashita no Nadja,7.59,TV
1395,Asobi Asobase Specials,7.59,Special
1396,BanG Dream! 2nd Season,7.59,TV
1397,Diamond no Ace OVA,7.59,OVA
1398,Digimon Adventure Movie,7.59,Movie
1399,"Fuufu Ijou, Koibito Miman.",7.59,TV
1400,Hakuouki: Sekkaroku,7.59,OVA
1401,Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,7.59,Movie
1402,Hoshiai no Sora,7.59,TV
1403,Hourou Musuko Specials,7.59,Special
1404,Kareshi Kanojo no Jijou,7.59,TV
1405,Majin Tantei Nougami Neuro,7.59,TV
1406,Majo Minarai wo Sagashite,7.59,Movie
1407,Master Keaton,7.59,TV
1408,Nanatsu no Taizai: Imashime no Fukkatsu,7.59,TV
1409,Romeo x Juliet,7.59,TV
1410,Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,7.59,OVA
1411,Shin Tennis no Ouji-sama vs. Genius 10,7.59,OVA
1412,Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,7.59,Movie
1413,Tennis no Ouji-sama: Another Story - Kako to Mirai no Message,7.59,OVA
1414,Tensura Nikki: Tensei shitara Slime Datta Ken,7.59,TV
1415,The IDOLM@STER Cinderella Girls: U149,7.59,TV
1416,Uchuu Senkan Yamato,7.59,TV
1417,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",7.59,OVA
1418,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,7.59,OVA
1419,Yama no Susume Third Season,7.59,TV
1420,Sword Art Online: Alicization - War of Underworld,7.58,TV
1421,Towa no Quon 6: Towa no Quon,7.58,Movie
1422,Tsubasa Chronicle 2nd Season,7.58,TV
1423,World Trigger,7.58,TV
1424,Yowamushi Pedal: Glory Line,7.58,TV
1425,Yume-iro Pâtissière SP Professional,7.58,TV
1426,Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.58,OVA
1427,Ajin Part 2,7.58,TV
1428,Ani ni Tsukeru Kusuri wa Nai! 4,7.58,TV
1429,Ao Haru Ride OVA,7.58,OVA
1430,Ao no Exorcist Movie,7.58,Movie
1431,Black Jack (TV),7.58,TV
1432,Boku no Hero Academia the Movie 3: World Heroes' Mission,7.58,Movie
1433,Byousoku 5 Centimeter,7.58,Movie
1434,Chuuka Ichiban!,7.58,TV
1435,Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,7.58,OVA
1436,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7.58,Movie
1437,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,7.58,Movie
1438,Free! Movie 1: Timeless Medley - Kizuna,7.58,Movie
1439,Full Metal Panic! Invisible Victory,7.58,TV
1440,Ga-Rei: Zero,7.58,TV
1441,GetBackers,7.58,TV
1442,Isekai Nonbiri Nouka,7.58,TV
1443,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,7.58,OVA
1444,Konnichiwa Anne: Before Green Gables,7.58,TV
1445,Love Live! Sunshine!! 2nd Season,7.58,TV
1446,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,7.58,OVA
1447,Mashle,7.58,TV
1448,Momo e no Tegami,7.58,Movie
1449,One Piece: Episode of Luffy - Hand Island no Bouken,7.58,Special
1450,Radiant 2nd Season,7.58,TV
1451,Ranma ½: Yomigaeru Kioku,7.58,OVA
1452,Strike Witches Movie,7.58,Movie
1453,Kidou Butouden G Gundam,7.57,TV
1454,Log Horizon 2nd Season,7.57,TV
1455,New Game!,7.57,TV
1456,Nisekoi,7.57,TV
1457,Noein: Mou Hitori no Kimi e,7.57,TV
1458,Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,7.57,OVA
1459,Pokemon (2019),7.57,TV
1460,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,7.57,Movie
1461,Runway de Waratte,7.57,TV
1462,Saint Seiya: Meiou Hades Elysion-hen,7.57,OVA
1463,Sengoku Basara Movie: The Last Party,7.57,Movie
1464,Senjou no Valkyria,7.57,TV
1465,Tada-kun wa Koi wo Shinai,7.57,TV
1466,Tales of Vesperia: The First Strike,7.57,Movie
1467,Uchuu Kyoudai: Number Zero,7.57,Movie
1468,Ushio to Tora (TV),7.57,TV
1469,"Yondemasu yo, Azazel-san.",7.57,OVA
1470,Yuru Yuri,7.57,TV
1471,Baka to Test to Shoukanjuu: Matsuri,7.57,OVA
1472,BanG Dream! Morfonication,7.57,Special
1473,Date A Bullet: Dead or Bullet,7.57,Movie
1474,Deaimon,7.57,TV
1475,Detective Conan: Conan vs. Kid - Shark & Jewel,7.57,Movie
1476,Doraemon Movie 07: Nobita to Tetsujin Heidan,7.57,Movie
1477,Dragon Quest: Dai no Daibouken (TV),7.57,TV
1478,Fairy Tail,7.57,TV
1479,Fairy Tail: Final Series,7.57,TV
1480,Fukigen na Mononokean Tsuzuki,7.57,TV
1481,Hakuouki: Hekketsuroku,7.57,TV
1482,Higashi no Eden Movie II: Paradise Lost,7.57,Movie
1483,Higashi no Eden: Air Communication,7.57,Movie
1484,Initial D Battle Stage,7.57,OVA
1485,Kara no Kyoukai Movie 1: Fukan Fuukei,7.57,Movie
1486,Aa! Megami-sama! Tatakau Tsubasa,7.56,Special
1487,Arakawa Under the Bridge,7.56,TV
1488,Boku no Hero Academia the Movie 1: Futari no Hero,7.56,Movie
1489,Candy Candy,7.56,TV
1490,Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,7.56,Movie
1491,Doupo Cangqiong 2nd Season,7.56,ONA
1492,Dragon Ball Super: Super Hero,7.56,Movie
1493,Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,7.56,Special
1494,Free! Dive to the Future - Soushun no Build-up!,7.56,Special
1495,Gugure! Kokkuri-san,7.56,TV
1496,Hakumei to Mikochi: Neji to Bed to Irori to Bakuchi,7.56,Special
1497,Hataraku Saibou,7.56,TV
1498,Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,7.56,Movie
1499,Hokuto no Ken 2,7.56,TV
1500,Hokuto no Ken: Raoh Gaiden Gekitou-hen,7.56,Movie
1501,InuYasha Movie 1: Toki wo Koeru Omoi,7.56,Movie
1502,Jigoku Sensei Nube,7.56,TV
1503,K: Return of Kings,7.56,TV
1504,Kaitou Saint Tail,7.56,TV
1505,Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,7.56,Special
1506,Kono Subarashii Sekai ni Bakuen wo!,7.56,TV
1507,Koutetsujou no Kabaneri Movie 2: Moeru Inochi,7.56,Movie
1508,"Lupin III: Episode 0 ""First Contact""",7.56,Special
1509,Macross Δ Movie 2: Zettai Live!!!,7.56,Movie
1510,Mahou Sensei Negima!: Mou Hitotsu no Sekai,7.56,OVA
1511,Moyashimon,7.56,TV
1512,Naruto: Shippuuden - Sunny Side Battle,7.56,Special
1513,Nezha Zhi Mo Tong Jiang Shi,7.56,Movie
1514,No.6,7.56,TV
1515,Penguin Highway,7.56,Movie
1516,Planetarian: Chiisana Hoshi no Yume,7.56,ONA
1517,Pokemon: Mezase Pokemon Master,7.56,TV
1518,Seitokai Yakuindomo,7.56,TV
1519,Shakugan no Shana II (Second),7.56,TV
1520,Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,7.56,OVA
1521,Sword Art Online Movie: Ordinal Scale,7.56,Movie
1522,Sword Art Online: Alicization,7.56,TV
1523,Tamayura: More Aggressive,7.56,TV
1524,To LOVE-Ru Darkness 2nd Specials,7.56,Special
1525,Tsurezure Children,7.56,TV
1526,Utawarerumono Specials,7.56,Special
1527,Wu Dong Qian Kun 3rd Season,7.56,ONA
1528,Yama no Susume Second Season,7.56,TV
1529,Yowamushi Pedal Movie,7.56,Movie
1530,Yuru Camp△ Specials,7.56,Special
1531,Tensei shitara Ken deshita,7.55,TV
1532,Totsukuni no Shoujo,7.55,OVA
1533,UFO Robo Grendizer,7.55,TV
1534,Wakakusa Monogatari: Nan to Jo-sensei,7.55,TV
1535,Yamada-kun to 7-nin no Majo,7.55,TV
1536,Aa! Megami-sama! Sorezore no Tsubasa,7.55,TV
1537,Angel Beats! Specials,7.55,Special
1538,Basilisk: Kouga Ninpou Chou,7.55,TV
1539,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,7.55,Movie
1540,Chuunibyou demo Koi ga Shitai! Ren,7.55,TV
1541,Detective Conan: Black History,7.55,Special
1542,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.55,TV
1543,Durarara!!x2 Ketsu: Dufufufu!!,7.55,Special
1544,Garo Movie: Divine Flame,7.55,Movie
1545,Gensoumaden Saiyuuki,7.55,TV
1546,Ginga Tetsudou 999 (Movie),7.55,Movie
1547,Gokushufudou Season 2,7.55,ONA
1548,Heya Camp△: Sauna to Gohan to Sanrin Bike,7.55,Special
1549,Higashi no Eden Movie I: The King of Eden,7.55,Movie
1550,Hinomaruzumou,7.55,TV
1551,Hungry Heart: Wild Striker,7.55,TV
1552,Initial D: Project D to the Next Stage - Project D e Mukete,7.55,Special
1553,InuYasha Movie 4: Guren no Houraijima,7.55,Movie
1554,Kami no Tou,7.55,TV
1555,Kara no Kyoukai Remix: Gate of Seventh Heaven,7.55,Movie
1556,Kidou Keisatsu Patlabor the Movie,7.55,Movie
1557,Koutetsujou no Kabaneri Movie 1: Tsudou Hikari,7.55,Movie
1558,Majo no Tabitabi,7.55,TV
1559,Minami-ke Okaeri,7.55,TV
1560,Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.55,TV
1561,Net-juu no Susume,7.55,TV
1562,Nijuu Mensou no Musume,7.55,TV
1563,Nodame Cantabile: Finale OVA,7.55,OVA
1564,Ongaku,7.55,Movie
1565,Pretty Rhythm: Rainbow Live,7.55,TV
1566,Re:Creators,7.55,TV
1567,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,Movie
1568,Sakamoto desu ga?,7.55,TV
1569,Shingeki no Kyojin Season 3 Specials,7.55,Special
1570,Shoukoku no Altair,7.55,TV
1571,Shounen Onmyouji,7.55,TV
1572,Sora no Otoshimono: Tokeijikake no Angeloid,7.55,Movie
1573,Kidou Keisatsu Patlabor: New OVA,7.54,OVA
1574,Kidou Senshi Gundam 00 Special Edition,7.54,OVA
1575,Konjiki no Gash Bell!!,7.54,TV
1576,Kuroko no Basket: Baka ja Katenai no yo!,7.54,OVA
1577,Mashiro no Oto,7.54,TV
1578,Nobunaga Concerto,7.54,TV
1579,Persona 3 the Movie 1: Spring of Birth,7.54,Movie
1580,Shin Tennis no Ouji-sama,7.54,TV
1581,Shine Post,7.54,TV
1582,Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,7.54,Movie
1583,So Ra No Wo To,7.54,TV
1584,Star☆Twinkle Precure,7.54,TV
1585,Taiho Shichau zo (TV),7.54,TV
1586,To LOVE-Ru Darkness OVA,7.54,OVA
1587,Tonari no Seki-kun,7.54,TV
1588,Uchuu Patrol Luluco,7.54,TV
1589,Un-Go: Inga-ron,7.54,Movie
1590,"Yondemasu yo, Azazel-san. Z",7.54,TV
1591,Aa! Megami-sama! Movie,7.54,Movie
1592,Afro Samurai Movie,7.54,Movie
1593,Baki: Dai Raitaisai-hen,7.54,ONA
1594,Bishoujo Senshi Sailor Moon Eternal Movie 1,7.54,Movie
1595,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,7.54,Special
1596,Demi-chan wa Kataritai,7.54,TV
1597,Fairy Tail Movie 2: Dragon Cry,7.54,Movie
1598,Fate/Grand Order,7.54,Special
1599,Giant Killing,7.54,TV
1600,Gokushufudou Part 2,7.54,ONA
1601,Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,7.54,Special
1602,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7.54,TV
1603,Amaama to Inazuma,7.53,TV
1604,Birdie Wing: Golf Girls' Story,7.53,TV
1605,Black Jack 21,7.53,TV
1606,Da Wang Rao Ming,7.53,ONA
1607,Doraemon Movie 26: Nobita no Kyouryuu 2006,7.53,Movie
1608,Doupo Cangqiong Specials,7.53,ONA
1609,Drifters (OVA),7.53,OVA
1610,Durarara!!x2 Ten: Onoroke Chakapoko,7.53,Special
1611,Fantastic Children,7.53,TV
1612,Fugou Keiji: Balance:Unlimited,7.53,TV
1613,Hakumei no Tsubasa,7.53,ONA
1614,Hataraku Saibou Black,7.53,TV
1615,Hime-chan no Ribbon,7.53,TV
1616,Hybrid Child,7.53,OVA
1617,Isshuukan Friends.,7.53,TV
1618,Kakuriyo no Yadomeshi,7.53,TV
1619,"Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",7.53,ONA
1620,Kemono Friends,7.53,TV
1621,Kimagure Orange☆Road,7.53,TV
1622,Mitsudomoe,7.53,TV
1623,Mitsudomoe: Oppai Ippai Mama Genki,7.53,Special
1624,One Piece Movie 04: Dead End no Bouken,7.53,Movie
1625,Over Drive,7.53,TV
1626,Patapata Hikousen no Bouken,7.53,TV
1627,Perrine Monogatari,7.53,TV
1628,Princess Principal: Crown Handler Movie 1,7.53,Movie
1629,R.O.D: The TV,7.53,TV
1630,Shuumatsu no Walküre II,7.53,ONA
1631,So Ra No Wo To Specials,7.53,Special
1632,The Big O,7.53,TV
1633,Toaru Majutsu no Index II,7.53,TV
1634,Utawarerumono: Futari no Hakuoro,7.53,TV
1635,Watashi ni Tenshi ga Maiorita! Precious Friends,7.53,Movie
1636,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,7.53,Movie
1637,Tensei Oujo to Tensai Reijou no Mahou Kakumei,7.52,TV
1638,Tiger & Bunny 2 Part 2,7.52,ONA
1639,To LOVE-Ru Darkness 2nd OVA,7.52,OVA
1640,Toriko,7.52,TV
1641,Totsukuni no Shoujo (2022),7.52,OVA
1642,Towa no Quon 4: Guren no Shoushin,7.52,Movie
1643,Tsubasa Chronicle,7.52,TV
1644,Asobi Asobase: Cosplay Taikai/Otona no Watashi e,7.52,OVA
1645,Baka to Test to Shoukanjuu,7.52,TV
1646,Bakuten!!,7.52,TV
1647,Densetsu no Yuusha no Densetsu,7.52,TV
1648,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,7.52,Special
1649,Fushigi no Umi no Nadia,7.52,TV
1650,Girls & Panzer,7.52,TV
1651,Golgo 13 (TV),7.52,TV
1652,Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa Seishun,7.52,OVA
1653,Hayate no Gotoku!,7.52,TV
1654,Heroic Age,7.52,TV
1655,Hidamari Sketch Specials,7.52,Special
1656,Hoshi wo Ou Kodomo,7.52,Movie
1657,"Ijiranaide, Nagatoro-san 2nd Attack",7.52,TV
1658,Irozuku Sekai no Ashita kara,7.52,TV
1659,Karakai Jouzu no Takagi-san: Water Slide,7.52,OVA
1660,Kindaichi Shounen no Jikenbo Returns,7.52,TV
1661,"Kuroshitsuji: Sono Shitsuji, Kougyou",7.52,Special
1662,Liang Bu Yi,7.52,ONA
1663,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note Special,7.52,Special
1664,Magic Knight Rayearth II,7.52,TV
1665,Metropolis,7.52,Movie
1666,Oemojisangjuui,7.52,ONA
1667,Ojiisan no Lamp,7.52,Movie
1668,Pokemon (2023),7.51,TV
1669,Ryuu to Sobakasu no Hime,7.52,Movie
1670,Saki Achiga-hen: Episode of Side-A Specials,7.52,Special
1671,Shoubushi Densetsu Tetsuya,7.52,TV
1672,Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,7.52,Movie
1673,Kiniro Mosaic: Pretty Days,7.51,Movie
1674,Love Live! Nijigasaki Gakuen School Idol Doukoukai,7.51,TV
1675,Macross Zero,7.51,OVA
1676,Mahou Shoujo Lyrical Nanoha: Detonation,7.51,Movie
1677,PriPara,7.51,TV
1678,Sengoku Basara Ni,7.51,TV
1679,Shakugan no Shana III (Final),7.51,TV
1680,Shion no Ou,7.51,TV
1681,Shiroi Suna no Aquatope,7.51,TV
1682,Special A,7.51,TV
1683,Voy@ger,7.51,ONA
1684,Wu Dong Qian Kun 2nd Season,7.51,ONA
1685,"Yondemasu yo, Azazel-san. (TV)",7.51,TV
1686,Zombieland Saga,7.51,TV
1687,Aa! Megami-sama! (TV) Specials,7.51,Special
1688,Casshern Sins,7.51,TV
1689,Cike Wu Liuqi Fanwai,7.51,ONA
1690,D-Frag!,7.51,TV
1691,Denpa-teki na Kanojo,7.51,OVA
1692,"Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma",7.51,Movie
1693,Final Fantasy VII: Advent Children - Venice Film Festival Footage,7.51,Movie
1694,Flying Witch,7.51,TV
1695,Fullmetal Alchemist: The Conqueror of Shamballa,7.51,Movie
1696,Huyao Xiao Hongniang: Wangquan Fugui,7.51,ONA
1697,Ike! Ina-chuu Takkyuu-bu,7.51,TV
1698,Aa! Megami-sama! Sorezore no Tsubasa Specials,7.50,Special
1699,Aikatsu! Movie,7.50,Movie
1700,Ao no Exorcist,7.50,TV
1701,Arslan Senki (TV): Fuujin Ranbu,7.50,TV
1702,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,7.50,Movie
1703,Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,7.50,OVA
1704,Fate/kaleid liner Prisma☆Illya 3rei!!,7.50,TV
1705,Golden Kamuy 2nd Season OVA,7.50,OVA
1706,Hello World,7.50,Movie
1707,Hello! Lady Lynn,7.50,TV
1708,Hello!! Kiniro Mosaic,7.50,TV
1709,Junjou Romantica,7.50,TV
1710,KanColle Movie,7.50,Movie
1711,Kappa no Coo to Natsuyasumi,7.50,Movie
1712,Kiniro Mosaic: Thank You!!,7.50,Movie
1713,Koukyuu no Karasu,7.50,TV
1714,Nanatsu no Taizai OVA,7.50,OVA
1715,Oban Star-Racers,7.50,TV
1716,One Piece: Heart of Gold,7.50,Special
1717,One Punch Man 2nd Season,7.50,TV
1718,Persona 4 the Animation,7.50,TV
1719,Poputepipikku 2nd Season,7.50,TV
1720,Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,7.50,Movie
1721,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,7.50,Movie
1722,Wakaokami wa Shougakusei! Movie,7.50,Movie
1723,Yawara!,7.50,TV
1724,Yu☆Gi☆Oh! The Dark Side of Dimensions,7.50,Movie
1725,Yume no Crayon Oukoku,7.50,TV
1726,Zhen Hun Jie,7.50,ONA
1727,Tasogare Otome x Amnesia: Taima Otome,7.49,Special
1728,Tensei shitara Slime Datta Ken OVA,7.49,OVA
1729,Towa no Quon 5: Souzetsu no Raifuku,7.49,Movie
1730,Waga Seishun no Arcadia,7.49,Movie
1731,Xingchen Bian: Po Tian Mi Ju,7.49,ONA
1732,Air Gear,7.49,TV
1733,Akazukin Chacha,7.49,TV
1734,Area 88,7.49,OVA
1735,Charlotte: Tsuyoimono-tachi,7.49,Special
1736,Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,7.49,Special
1737,City Hunter: Goodbye My Sweetheart,7.49,Special
1738,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,7.49,ONA
1739,Detective Conan OVA 04: Conan and Kid and Crystal Mother,7.49,OVA
1740,Doupo Cangqiong 2nd Season Specials,7.49,ONA
1741,Gintama: Monster Strike-hen,7.49,ONA
1742,Gochuumon wa Usagi desu ka?,7.49,TV
1743,Grappler Baki: Saidai Tournament-hen,7.49,TV
1744,Hellsing,7.49,TV
1745,Heppoko Jikken Animation Excel♥Saga,7.49,TV
1746,Kidou Senkan Nadesico,7.49,TV
1747,Kiratto Pri☆chan Season 2,7.49,TV
1748,Koi wa Ameagari no You ni,7.49,TV
1749,Konohana Kitan,7.49,TV
1750,Kore wa Zombie desu ka? of the Dead,7.49,TV
1751,Kyoukaisenjou no Horizon II,7.49,TV
1752,Minami-ke Betsubara,7.49,OVA
1753,Nanbaka 2,7.49,ONA
1754,Owari no Seraph,7.49,TV
1755,Ranma ½: Akumu! Shunmin Kou,7.49,OVA
1756,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie,7.49,Movie
1757,Sarazanmai,7.49,TV
1758,Shin Tennis no Ouji-sama Specials,7.49,Special
1759,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,7.49,TV
1760,Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,7.48,Movie
1761,Ling Qi 2,7.48,TV
1762,Little Busters!,7.48,TV
1763,Major 2nd 2nd Season,7.48,TV
1764,Modern Love Tokyo: Kare ga Kanaderu Futari no Shirabe,7.48,ONA
1765,"Momoko, Kaeru no Uta ga Kikoeru yo.",7.48,Movie
1766,Ningen Shikkaku: Director's Cut-ban,7.48,Movie
1767,Ouritsu Uchuugun: Honneamise no Tsubasa,7.48,Movie
1768,Persona 4 the Animation: No One is Alone,7.48,Special
1769,Saenai Heroine no Sodatekata,7.48,TV
1770,Saint☆Oniisan,7.48,OVA
1771,Sora no Aosa wo Shiru Hito yo,7.48,Movie
1772,Sugar Sugar Rune,7.48,TV
1773,Sword Art Online: Alicization - War of Underworld 2nd Season,7.48,TV
1774,Tonari no Kaibutsu-kun,7.48,TV
1775,Yu☆Gi☆Oh! Duel Monsters,7.48,TV
1776,Zipang,7.48,TV
1777,Acchi Kocchi,7.48,TV
1778,Ani ni Tsukeru Kusuri wa Nai!,7.48,TV
1779,Another,7.48,TV
1780,"Benriya Saitou-san, Isekai ni Iku",7.48,TV
1781,Bobobo-bo Bo-bobo,7.48,TV
1782,Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,7.48,Special
1783,Da Yu Hai Tang (Movie),7.48,Movie
1784,Donten ni Warau,7.48,TV
1785,Elfen Lied,7.48,TV
1786,Grisaia no Kajitsu,7.48,TV
1787,"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",7.48,Movie
1788,High School DxD New,7.48,TV
1789,Hitoribocchi no Marumaru Seikatsu,7.48,TV
1790,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,7.48,TV
1791,Kaichou wa Maid-sama!: Omake da yo!,7.48,Special
1792,Kamisama no Memochou,7.48,TV
1793,Aggressive Retsuko (ONA) 5th Season,7.47,ONA
1794,Akame ga Kill!,7.47,TV
1795,Angel Densetsu,7.47,OVA
1796,Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,7.47,OVA
1797,Do It Yourself!!,7.47,TV
1798,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,7.47,Movie
1799,Doraemon Movie 40: Nobita no Shin Kyouryuu,7.47,Movie
1800,Fairy Tail OVA,7.47,OVA
1801,Furiko,7.47,Special
1802,Ganbare Genki,7.47,TV
1803,Grappler Baki (TV),7.47,TV
1804,Gundam Build Divers Re:Rise 2nd Season,7.47,ONA
