Rank,Title,Score,Episodes
124,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV
125,Kimetsu no Yaiba,8.50,TV
126,One Punch Man,8.50,TV
127,Shingeki no Kyojin Season 2,8.50,TV
128,Mob Psycho 100,8.49,TV
129,Uchuu Kyoudai,8.49,TV
130,Ansatsu Kyoushitsu 2nd Season,8.49,TV
131,Aria the Origination,8.48,TV
132,Banana Fish,8.48,TV
133,Rainbow: Nisha Rokubou no Shichinin,8.48,TV
134,Road of Naruto,8.48,ONA
135,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.47,Movie
136,Chihayafuru 3,8.47,TV
137,Gintama: The Semi-Final,8.47,Special
138,Jujutsu Kaisen 0 Movie,8.47,Movie
139,Bungou Stray Dogs 4th Season,8.46,TV
140,Nichijou,8.46,TV
141,Yuru Camp△ Movie,8.46,Movie
142,Yuu☆Yuu☆Hakusho,8.46,TV
143,Zoku Owarimonogatari,8.45,Movie
144,Fruits Basket: Prelude,8.45,Movie
145,Golden Kamuy 3rd Season,8.45,TV
146,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.45,Movie
147,Owarimonogatari,8.45,TV
148,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,Movie
149,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.44,TV
150,Haikyuu!!,8.44,TV
151,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV
152,Gintama: Yorinuki Gintama-san on Theater 2D,8.43,Movie
153,Grand Blue,8.43,TV
154,Karakai Jouzu no Takagi-san 3,8.43,TV
155,Kimetsu no Yaiba: Katanakaji no Sato-hen,8.43,TV
156,Mo Dao Zu Shi,8.43,ONA
157,Mononoke,8.43,TV
158,Mushishi Zoku Shou: Odoro no Michi,8.43,Special
159,Saenai Heroine no Sodatekata Fine,8.43,Movie
160,Kono Oto Tomare! Part 2,8.42,TV
161,Koukaku Kidoutai: Stand Alone Complex,8.42,TV
162,Saiki Kusuo no Ψ-nan,8.42,TV
163,Saiki Kusuo no Ψ-nan 2,8.42,TV
164,Suzume no Tojimari,8.42,Movie
165,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Movie
166,Vivy: Fluorite Eye's Song,8.41,TV
167,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41,Movie
168,Shingeki no Kyojin: Kuinaki Sentaku,8.41,OVA
169,Hunter x Hunter,8.41,TV
170,Josee to Tora to Sakana-tachi,8.41,Movie
171,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,TV
